project,category,ckb_fiber_dependency,public_evidence,maturity,main_gap,source
CKB Core v0.209,Core infrastructure,High,Release notes and merged fixes,Released,Adoption visibility,https://talk.nervos.org/t/teamckb-dev-log-updated-sep-16-2026/8572
Fiber v0.9,Fiber protocol,High,Release and development logs,Released but evolving,Liquidity and production operations,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/25
OffCKB v0.5,Fiber developer tooling,High,Fiber devnet preparation reported,In development,Reproducible onboarding evidence,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/28
fiber-pay,Fiber developer tooling,High,Published CLI and testnet workflows,Runnable testnet,Long-term compatibility and usage,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Fiber Studio,Fiber node operations,High,Public desktop software and signed installers,Released desktop tooling,Security review and adoption,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
FiberFlow,Merchant payments,High,Hosted testnet merchant tool,Runnable testnet,Recurring merchants and volume,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
FiberLatch,Payment access control,High,Runnable testnet proof,Runnable testnet,User demand and production hardening,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
FiberPass,Spending permissions,High,Unaudited testnet beta,Testnet beta,Operator liquidity and security review,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Trickle,Streaming payments,High,Runnable testnet prototype,Runnable testnet,Recurring users and stable asset routes,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Scryve Reads,Paid content,Medium,Public runnable experiment,Runnable experiment,Demonstrated reader demand,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Paid AI Agent Calling,Machine payments,High,Public testnet demo,Runnable testnet,Variable pricing and real service demand,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Infern,AI service marketplace,High,Public testnet prototype,Early testnet,Specification maturity and provider adoption,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
AgentPay,Agent payments,High,Repository and local prototype,Local prototype,Public demo and production route,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Routed CKB-Asset Sessions,Machine payment infrastructure,High,Forum design seeking feedback,Research/design,Problem validation and protocol boundaries,https://talk.nervos.org/t/routed-machine-payment-sessions-on-fiber-looking-for-community-feedback/10694
ChannelForge,Liquidity readiness,High,Public proposal and architecture,Proposal,Independent validation and maintained data source,https://talk.nervos.org/t/channelforge/10684
LiquidLane,Channel liquidity,High,Testnet contracts and deployment evidence,Protocol prototype,Custody safety and sustainable LP supply,https://talk.nervos.org/t/liquidlane-lp-backed-fiber-channel-liquidity/10686
Sluice,Liquidity operations,High,Hosted testnet operations tool,Runnable testnet,Operator adoption and production evidence,https://talk.nervos.org/t/ai-machine-payments-and-fiber-in-2026-an-opportunity-map-for-ckb-and-fiber-developers/10665
Fiber RGB++ Swap,Asset swaps,High,Two-node tests and published smoke logs,In-progress testnet,Security and atomic exchange edge cases,https://talk.nervos.org/t/spark-program-fiber-rgb-swap/10487/26
CellScript,Contract developer tooling,High,Versioned releases compiler tests and artifact verification,Active pre-production tooling,Stable interfaces and external adoption,https://talk.nervos.org/t/cellscript-0-30-abstractions-bytes-and-the-cost/10732
Pocket Node,Mobile light client,High,Android release and governance verification,Released application,User adoption and iOS equivalent,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/28
CKB Vote PoC,Governance and zkVM,High,Public specification and proof of concept,Research/PoC,Proof performance and review readiness,https://talk.nervos.org/t/pre-rfc-discussion-activating-the-nervos-dao-treasury/10143
SHRINCS tooling,Post-quantum security,High,Rust crate lock script and wallet prototype reported,Prototype,Auditability and wallet integration,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/28
Orbital,Developer environment,Medium,Public application introduced,Public prototype,Usage evidence and differentiation,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/28
CKScope,Explorer tooling,High,Repository announced,Catalyst prototype,Maintained indexing and user adoption,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/28
Tranfr,Wallet recovery,High,Spark approval reported,Approved/in progress,Testnet proof and security analysis,https://talk.nervos.org/t/ckb-ecosystem-biweekly-update/9821/28
InkHaven/Scryve,Publishing,Medium,Public product thread and ongoing updates,Public prototype,Reader and writer retention,https://talk.nervos.org/t/inkhaven-a-ckb-native-publishing-platform-built-for-global-writers/9819
